periodo,modelo,n,split,RMSE,MAE,MAPE(%)
2019 (calmo),Persistencia,3,test,1.2605944871902466,0.9381685853004456,1.0598924160003662
2019 (calmo),Denso-A,3,train,8.50485897064209,6.694007873535156,14.76248836517334
2019 (calmo),Denso-A,3,dev,3.358550548553467,2.7260100841522217,3.3722286224365234
2019 (calmo),Denso-A,3,test,2.9021201133728027,2.5175814628601074,2.765115976333618
2019 (calmo),Denso-B,3,train,1.5386803150177002,1.1741268634796143,2.029968500137329
2019 (calmo),Denso-B,3,dev,3.0688283443450928,2.522385358810425,3.1062228679656982
2019 (calmo),Denso-B,3,test,2.1651217937469482,1.8602159023284912,2.063159942626953
2019 (calmo),Denso-C,3,train,1.9226529598236084,1.6731151342391968,3.383798599243164
2019 (calmo),Denso-C,3,dev,3.1197216510772705,2.4955010414123535,3.0846190452575684
2019 (calmo),Denso-C,3,test,1.4565731287002563,1.113266944885254,1.2545244693756104
2019 (calmo),Persistencia,7,test,1.2605944871902466,0.9381685853004456,1.0598924160003662
2019 (calmo),Denso-A,7,train,2.7513434886932373,2.345918893814087,4.549213409423828
2019 (calmo),Denso-A,7,dev,5.056031703948975,4.148983001708984,5.179189205169678
2019 (calmo),Denso-A,7,test,2.602449893951416,2.056062698364258,2.286809206008911
2019 (calmo),Denso-B,7,train,2.3083889484405518,1.968144178390503,3.684774398803711
2019 (calmo),Denso-B,7,dev,3.344090223312378,2.7773454189300537,3.4300878047943115
2019 (calmo),Denso-B,7,test,2.7555553913116455,2.4232213497161865,2.6771020889282227
2019 (calmo),Denso-C,7,train,1.8625761270523071,1.347884178161621,2.1169846057891846
2019 (calmo),Denso-C,7,dev,3.3119466304779053,2.711151361465454,3.324119806289673
2019 (calmo),Denso-C,7,test,3.024613380432129,2.712554931640625,2.9956612586975098
2019 (calmo),Persistencia,15,test,1.2605944871902466,0.9381685853004456,1.0598924160003662
2019 (calmo),Denso-A,15,train,3.900818347930908,3.370089530944824,6.090414524078369
2019 (calmo),Denso-A,15,dev,4.197699546813965,3.4582486152648926,4.244381904602051
2019 (calmo),Denso-A,15,test,4.676958084106445,4.231186389923096,4.68392276763916
2019 (calmo),Denso-B,15,train,2.4389355182647705,2.0500080585479736,3.6121017932891846
2019 (calmo),Denso-B,15,dev,3.6179425716400146,2.867105722427368,3.5683159828186035
2019 (calmo),Denso-B,15,test,3.124246835708618,2.7156424522399902,2.994354724884033
2019 (calmo),Denso-C,15,train,2.5349717140197754,2.226978063583374,4.027087688446045
2019 (calmo),Denso-C,15,dev,3.252387046813965,2.64284348487854,3.3211510181427
2019 (calmo),Denso-C,15,test,3.0608954429626465,2.568497657775879,2.835200071334839
2020 (COVID),Persistencia,3,test,3.1725666522979736,2.355203866958618,1.791757583618164
2020 (COVID),Denso-A,3,train,1.481004238128662,1.0079360008239746,1.4569063186645508
2020 (COVID),Denso-A,3,dev,0.9806380271911621,0.7139121294021606,0.8007370233535767
2020 (COVID),Denso-A,3,test,7.529938697814941,6.214313507080078,4.30740213394165
2020 (COVID),Denso-B,3,train,1.9407706260681152,1.4499902725219727,2.2455475330352783
2020 (COVID),Denso-B,3,dev,1.1000217199325562,0.8077155351638794,0.9040469527244568
2020 (COVID),Denso-B,3,test,6.297183036804199,5.113857746124268,3.6308414936065674
2020 (COVID),Denso-C,3,train,3.3580009937286377,2.8450381755828857,5.453442573547363
2020 (COVID),Denso-C,3,dev,1.5067085027694702,1.2327687740325928,1.3821666240692139
2020 (COVID),Denso-C,3,test,8.273457527160645,7.025259494781494,4.9050469398498535
2020 (COVID),Persistencia,7,test,3.1725666522979736,2.355203866958618,1.791757583618164
2020 (COVID),Denso-A,7,train,1.3541990518569946,0.913869321346283,1.3150328397750854
2020 (COVID),Denso-A,7,dev,0.9807349443435669,0.7343655228614807,0.8264942169189453
2020 (COVID),Denso-A,7,test,3.432061195373535,2.569556713104248,1.919415831565857
2020 (COVID),Denso-B,7,train,2.9603428840637207,2.3723225593566895,4.514785289764404
2020 (COVID),Denso-B,7,dev,1.116153597831726,0.8477749824523926,0.9535278081893921
2020 (COVID),Denso-B,7,test,4.194366455078125,3.1787002086639404,2.359487771987915
2020 (COVID),Denso-C,7,train,1.6663373708724976,1.315531611442566,2.188863515853882
2020 (COVID),Denso-C,7,dev,1.0113091468811035,0.7939661741256714,0.894398033618927
2020 (COVID),Denso-C,7,test,11.86701488494873,10.059988975524902,6.906578540802002
2020 (COVID),Persistencia,15,test,3.1725666522979736,2.355203866958618,1.791757583618164
2020 (COVID),Denso-A,15,train,1.5284287929534912,1.1021482944488525,1.6170610189437866
2020 (COVID),Denso-A,15,dev,0.9683751463890076,0.7540780305862427,0.847705066204071
2020 (COVID),Denso-A,15,test,3.6069366931915283,2.7557828426361084,2.0628581047058105
2020 (COVID),Denso-B,15,train,3.134242296218872,2.611593008041382,4.829533100128174
2020 (COVID),Denso-B,15,dev,1.3617887496948242,1.0659048557281494,1.1908162832260132
2020 (COVID),Denso-B,15,test,9.498980522155762,8.066337585449219,5.679734706878662
2020 (COVID),Denso-C,15,train,3.441365957260132,2.8357748985290527,5.449697971343994
2020 (COVID),Denso-C,15,dev,0.9649202823638916,0.7177366018295288,0.8066275119781494
2020 (COVID),Denso-C,15,test,8.639647483825684,6.697725772857666,4.639749050140381
2022 (bajista + split),Persistencia,3,test,3.9809370040893555,2.9431073665618896,2.370037794113159
2022 (bajista + split),Denso-A,3,train,5.123367786407471,4.3882341384887695,6.442616939544678
2022 (bajista + split),Denso-A,3,dev,3.2929768562316895,2.518791437149048,1.4623061418533325
2022 (bajista + split),Denso-A,3,test,5.855881214141846,4.666399002075195,3.9253551959991455
2022 (bajista + split),Denso-B,3,train,3.632567882537842,2.8022565841674805,4.565250396728516
2022 (bajista + split),Denso-B,3,dev,3.0733346939086914,2.340531826019287,1.3622324466705322
2022 (bajista + split),Denso-B,3,test,4.980720520019531,3.8753867149353027,3.157325029373169
